Age,Year,Type of Registration,All ages  
20 - 24,1971,Outside Marriage (or Civil Partnership),22043
20 - 24,1972,Outside Marriage (or Civil Partnership),19802
20 - 24,1973,Outside Marriage (or Civil Partnership),18164
20 - 24,1974,Outside Marriage (or Civil Partnership),17568
20 - 24,1975,Outside Marriage (or Civil Partnership),16756
20 - 24,1976,Outside Marriage (or Civil Partnership),16631
20 - 24,1977,Outside Marriage (or Civil Partnership),17376
20 - 24,1978,Outside Marriage (or Civil Partnership),19701
20 - 24,1979,Outside Marriage (or Civil Partnership),22871
20 - 24,1980,Outside Marriage (or Civil Partnership),26607
20 - 24,1981,Outside Marriage (or Civil Partnership),28810
20 - 24,1982,Outside Marriage (or Civil Partnership),32411
20 - 24,1983,Outside Marriage (or Civil Partnership),36643
20 - 24,1984,Outside Marriage (or Civil Partnership),41084
20 - 24,1985,Outside Marriage (or Civil Partnership),47696
20 - 24,1986,Outside Marriage (or Civil Partnership),54079
20 - 24,1987,Outside Marriage (or Civil Partnership),60423
20 - 24,1988,Outside Marriage (or Civil Partnership),68151
20 - 24,1989,Outside Marriage (or Civil Partnership),70783
20 - 24,1990,Outside Marriage (or Civil Partnership),73948
20 - 24,1991,Outside Marriage (or Civil Partnership),77751
20 - 24,1992,Outside Marriage (or Civil Partnership),77091
20 - 24,1993,Outside Marriage (or Civil Partnership),75025
20 - 24,1994,Outside Marriage (or Civil Partnership),71013
20 - 24,1995,Outside Marriage (or Civil Partnership),69715
20 - 24,1996,Outside Marriage (or Civil Partnership),71081
20 - 24,1997,Outside Marriage (or Civil Partnership),69521
20 - 24,1998,Outside Marriage (or Civil Partnership),67813
20 - 24,1999,Outside Marriage (or Civil Partnership),67532
20 - 24,2000,Outside Marriage (or Civil Partnership),67479
20 - 24,2001,Outside Marriage (or Civil Partnership),68108
20 - 24,2002,Outside Marriage (or Civil Partnership),70247
20 - 24,2003,Outside Marriage (or Civil Partnership),75735
20 - 24,2004,Outside Marriage (or Civil Partnership),79787
20 - 24,2005,Outside Marriage (or Civil Partnership),82135
20 - 24,2006,Outside Marriage (or Civil Partnership),87702
20 - 24,2007,Outside Marriage (or Civil Partnership),91925
20 - 24,2008,Outside Marriage (or Civil Partnership),97732
20 - 24,2009,Outside Marriage (or Civil Partnership),100092
20 - 24,2010,Outside Marriage (or Civil Partnership),103357
20 - 24,2011,Outside Marriage (or Civil Partnership),103161
20 - 24,2012,Outside Marriage (or Civil Partnership),102829
20 - 24,2013,Outside Marriage (or Civil Partnership),93925
20 - 24,2014,Outside Marriage (or Civil Partnership),89742
20 - 24,2015,Outside Marriage (or Civil Partnership),86870
20 - 24,2016,Outside Marriage (or Civil Partnership),82398
20 - 24,2017,Outside Marriage (or Civil Partnership),78407
20 - 24,2018,Outside Marriage (or Civil Partnership),73156
20 - 24,2019,Outside Marriage (or Civil Partnership),69384
20 - 24,2020,Outside Marriage (or Civil Partnership),63924
20 - 24,1938,Within Marriage (or Civil Partnership),138336
20 - 24,1939,Within Marriage (or Civil Partnership),131964
20 - 24,1940,Within Marriage (or Civil Partnership),134220
20 - 24,1941,Within Marriage (or Civil Partnership),137320
20 - 24,1942,Within Marriage (or Civil Partnership),152819
20 - 24,1943,Within Marriage (or Civil Partnership),160442
20 - 24,1944,Within Marriage (or Civil Partnership),172841
20 - 24,1945,Within Marriage (or Civil Partnership),152169
20 - 24,1946,Within Marriage (or Civil Partnership),177405
20 - 24,1947,Within Marriage (or Civil Partnership),213219
20 - 24,1948,Within Marriage (or Civil Partnership),197397
20 - 24,1949,Within Marriage (or Civil Partnership),190160
20 - 24,1950,Within Marriage (or Civil Partnership),180407
20 - 24,1951,Within Marriage (or Civil Partnership),177936
20 - 24,1952,Within Marriage (or Civil Partnership),179776
20 - 24,1953,Within Marriage (or Civil Partnership),185106
20 - 24,1954,Within Marriage (or Civil Partnership),184021
20 - 24,1955,Within Marriage (or Civil Partnership),183179
20 - 24,1956,Within Marriage (or Civil Partnership),193786
20 - 24,1957,Within Marriage (or Civil Partnership),201223
20 - 24,1958,Within Marriage (or Civil Partnership),210621
20 - 24,1959,Within Marriage (or Civil Partnership),216874
20 - 24,1960,Within Marriage (or Civil Partnership),226453
20 - 24,1961,Within Marriage (or Civil Partnership),234340
20 - 24,1962,Within Marriage (or Civil Partnership),242940
20 - 24,1963,Within Marriage (or Civil Partnership),248489
20 - 24,1964,Within Marriage (or Civil Partnership),255618
20 - 24,1965,Within Marriage (or Civil Partnership),257275
20 - 24,1966,Within Marriage (or Civil Partnership),263815
20 - 24,1967,Within Marriage (or Civil Partnership),267780
20 - 24,1968,Within Marriage (or Civil Partnership),271583
20 - 24,1969,Within Marriage (or Civil Partnership),265877
20 - 24,1970,Within Marriage (or Civil Partnership),266944
20 - 24,1971,Within Marriage (or Civil Partnership),263660
20 - 24,1972,Within Marriage (or Civil Partnership),229307
20 - 24,1973,Within Marriage (or Civil Partnership),205511
20 - 24,1974,Within Marriage (or Civil Partnership),190516
20 - 24,1975,Within Marriage (or Civil Partnership),173442
20 - 24,1976,Within Marriage (or Civil Partnership),165579
20 - 24,1977,Within Marriage (or Civil Partnership),157168
20 - 24,1978,Within Marriage (or Civil Partnership),162879
20 - 24,1979,Within Marriage (or Civil Partnership),170338
20 - 24,1980,Within Marriage (or Civil Partnership),174934
20 - 24,1981,Within Marriage (or Civil Partnership),165690
20 - 24,1982,Within Marriage (or Civil Partnership),159911
20 - 24,1983,Within Marriage (or Civil Partnership),155209
20 - 24,1984,Within Marriage (or Civil Partnership),150371
20 - 24,1985,Within Marriage (or Civil Partnership),146262
20 - 24,1986,Within Marriage (or Civil Partnership),137985
20 - 24,1987,Within Marriage (or Civil Partnership),132809
20 - 24,1988,Within Marriage (or Civil Partnership),125575
20 - 24,1989,Within Marriage (or Civil Partnership),114456
20 - 24,1990,Within Marriage (or Civil Partnership),106188
20 - 24,1991,Within Marriage (or Civil Partnership),95605
20 - 24,1992,Within Marriage (or Civil Partnership),86220
20 - 24,1993,Within Marriage (or Civil Partnership),76950
20 - 24,1994,Within Marriage (or Civil Partnership),69227
20 - 24,1995,Within Marriage (or Civil Partnership),61029
20 - 24,1996,Within Marriage (or Civil Partnership),54651
20 - 24,1997,Within Marriage (or Civil Partnership),49068
20 - 24,1998,Within Marriage (or Civil Partnership),45724
20 - 24,1999,Within Marriage (or Civil Partnership),43190
20 - 24,2000,Within Marriage (or Civil Partnership),40262
20 - 24,2001,Within Marriage (or Civil Partnership),40736
20 - 24,2002,Within Marriage (or Civil Partnership),40712
20 - 24,2003,Within Marriage (or Civil Partnership),40887
20 - 24,2004,Within Marriage (or Civil Partnership),41285
20 - 24,2005,Within Marriage (or Civil Partnership),40010
20 - 24,2006,Within Marriage (or Civil Partnership),40126
20 - 24,2007,Within Marriage (or Civil Partnership),38859
20 - 24,2008,Within Marriage (or Civil Partnership),38239
20 - 24,2009,Within Marriage (or Civil Partnership),35920
20 - 24,2010,Within Marriage (or Civil Partnership),33955
20 - 24,2011,Within Marriage (or Civil Partnership),31785
20 - 24,2012,Within Marriage (or Civil Partnership),29627
20 - 24,2013,Within Marriage (or Civil Partnership),25794
20 - 24,2014,Within Marriage (or Civil Partnership),22873
20 - 24,2015,Within Marriage (or Civil Partnership),21241
20 - 24,2016,Within Marriage (or Civil Partnership),20209
20 - 24,2017,Within Marriage (or Civil Partnership),19099
20 - 24,2018,Within Marriage (or Civil Partnership),17939
20 - 24,2019,Within Marriage (or Civil Partnership),17372
20 - 24,2020,Within Marriage (or Civil Partnership),15702
25 - 29,1938,Outside Marriage (or Civil Partnership),5819
25 - 29,1939,Outside Marriage (or Civil Partnership),5577
25 - 29,1940,Outside Marriage (or Civil Partnership),5768
25 - 29,1941,Outside Marriage (or Civil Partnership),6806
25 - 29,1942,Outside Marriage (or Civil Partnership),8041
25 - 29,1943,Outside Marriage (or Civil Partnership),9603
25 - 29,1944,Outside Marriage (or Civil Partnership),12475
25 - 29,1945,Outside Marriage (or Civil Partnership),15379
25 - 29,1946,Outside Marriage (or Civil Partnership),13836
25 - 29,1947,Outside Marriage (or Civil Partnership),12602
25 - 29,1948,Outside Marriage (or Civil Partnership),11034
25 - 29,1949,Outside Marriage (or Civil Partnership),9798
25 - 29,1950,Outside Marriage (or Civil Partnership),8721
25 - 29,1951,Outside Marriage (or Civil Partnership),7768
25 - 29,1952,Outside Marriage (or Civil Partnership),7396
25 - 29,1953,Outside Marriage (or Civil Partnership),7028
25 - 29,1954,Outside Marriage (or Civil Partnership),6599
25 - 29,1955,Outside Marriage (or Civil Partnership),6601
25 - 29,1956,Outside Marriage (or Civil Partnership),6987
25 - 29,1957,Outside Marriage (or Civil Partnership),7117
25 - 29,1958,Outside Marriage (or Civil Partnership),7310
25 - 29,1959,Outside Marriage (or Civil Partnership),7597
25 - 29,1960,Outside Marriage (or Civil Partnership),8362
25 - 29,1961,Outside Marriage (or Civil Partnership),9313
25 - 29,1962,Outside Marriage (or Civil Partnership),10752
25 - 29,1963,Outside Marriage (or Civil Partnership),11435
25 - 29,1964,Outside Marriage (or Civil Partnership),12148
25 - 29,1965,Outside Marriage (or Civil Partnership),12338
25 - 29,1966,Outside Marriage (or Civil Partnership),11851
25 - 29,1967,Outside Marriage (or Civil Partnership),11888
25 - 29,1968,Outside Marriage (or Civil Partnership),11684
25 - 29,1969,Outside Marriage (or Civil Partnership),11144
25 - 29,1970,Outside Marriage (or Civil Partnership),10996
25 - 29,1971,Outside Marriage (or Civil Partnership),11538
25 - 29,1972,Outside Marriage (or Civil Partnership),11124
25 - 29,1973,Outside Marriage (or Civil Partnership),10390
25 - 29,1974,Outside Marriage (or Civil Partnership),9950
25 - 29,1975,Outside Marriage (or Civil Partnership),9849
25 - 29,1976,Outside Marriage (or Civil Partnership),9677
25 - 29,1977,Outside Marriage (or Civil Partnership),9758
25 - 29,1978,Outside Marriage (or Civil Partnership),10431
25 - 29,1979,Outside Marriage (or Civil Partnership),12306
25 - 29,1980,Outside Marriage (or Civil Partnership),13462
25 - 29,1981,Outside Marriage (or Civil Partnership),14300
25 - 29,1982,Outside Marriage (or Civil Partnership),16066
25 - 29,1983,Outside Marriage (or Civil Partnership),17916
25 - 29,1984,Outside Marriage (or Civil Partnership),20630
25 - 29,1985,Outside Marriage (or Civil Partnership),24214
25 - 29,1986,Outside Marriage (or Civil Partnership),27712
25 - 29,1987,Outside Marriage (or Civil Partnership),32893
25 - 29,1988,Outside Marriage (or Civil Partnership),38168
25 - 29,1989,Outside Marriage (or Civil Partnership),41861
25 - 29,1990,Outside Marriage (or Civil Partnership),47876
25 - 29,1991,Outside Marriage (or Civil Partnership),52446
