Age,Year,Type of Registration,All ages  
40 - 44,2020,Within Marriage (or Civil Partnership),16071
45 - 49,1938,Outside Marriage (or Civil Partnership),87
45 - 49,1939,Outside Marriage (or Civil Partnership),91
45 - 49,1940,Outside Marriage (or Civil Partnership),85
45 - 49,1941,Outside Marriage (or Civil Partnership),86
45 - 49,1942,Outside Marriage (or Civil Partnership),100
45 - 49,1943,Outside Marriage (or Civil Partnership),101
45 - 49,1944,Outside Marriage (or Civil Partnership),98
45 - 49,1945,Outside Marriage (or Civil Partnership),110
45 - 49,1946,Outside Marriage (or Civil Partnership),115
45 - 49,1947,Outside Marriage (or Civil Partnership),119
45 - 49,1948,Outside Marriage (or Civil Partnership),123
45 - 49,1949,Outside Marriage (or Civil Partnership),115
45 - 49,1950,Outside Marriage (or Civil Partnership),108
45 - 49,1951,Outside Marriage (or Civil Partnership),108
45 - 49,1952,Outside Marriage (or Civil Partnership),109
45 - 49,1953,Outside Marriage (or Civil Partnership),91
45 - 49,1954,Outside Marriage (or Civil Partnership),83
45 - 49,1955,Outside Marriage (or Civil Partnership),97
45 - 49,1956,Outside Marriage (or Civil Partnership),91
45 - 49,1957,Outside Marriage (or Civil Partnership),94
45 - 49,1958,Outside Marriage (or Civil Partnership),77
45 - 49,1959,Outside Marriage (or Civil Partnership),98
45 - 49,1960,Outside Marriage (or Civil Partnership),108
45 - 49,1961,Outside Marriage (or Civil Partnership),119
45 - 49,1962,Outside Marriage (or Civil Partnership),134
45 - 49,1963,Outside Marriage (or Civil Partnership),99
45 - 49,1964,Outside Marriage (or Civil Partnership),123
45 - 49,1965,Outside Marriage (or Civil Partnership),119
45 - 49,1966,Outside Marriage (or Civil Partnership),124
45 - 49,1967,Outside Marriage (or Civil Partnership),112
45 - 49,1968,Outside Marriage (or Civil Partnership),110
45 - 49,1969,Outside Marriage (or Civil Partnership),107
45 - 49,1970,Outside Marriage (or Civil Partnership),84
45 - 49,1971,Outside Marriage (or Civil Partnership),74
45 - 49,1972,Outside Marriage (or Civil Partnership),79
45 - 49,1973,Outside Marriage (or Civil Partnership),57
45 - 49,1974,Outside Marriage (or Civil Partnership),51
45 - 49,1975,Outside Marriage (or Civil Partnership),54
45 - 49,1976,Outside Marriage (or Civil Partnership),49
45 - 49,1977,Outside Marriage (or Civil Partnership),46
45 - 49,1978,Outside Marriage (or Civil Partnership),44
45 - 49,1979,Outside Marriage (or Civil Partnership),49
45 - 49,1980,Outside Marriage (or Civil Partnership),47
45 - 49,1981,Outside Marriage (or Civil Partnership),20
45 - 49,1982,Outside Marriage (or Civil Partnership),58
45 - 49,1983,Outside Marriage (or Civil Partnership),50
45 - 49,1984,Outside Marriage (or Civil Partnership),46
45 - 49,1985,Outside Marriage (or Civil Partnership),46
45 - 49,1986,Outside Marriage (or Civil Partnership),37
45 - 49,1987,Outside Marriage (or Civil Partnership),46
45 - 49,1988,Outside Marriage (or Civil Partnership),57
45 - 49,1989,Outside Marriage (or Civil Partnership),60
45 - 49,1990,Outside Marriage (or Civil Partnership),68
45 - 49,1991,Outside Marriage (or Civil Partnership),76
45 - 49,1992,Outside Marriage (or Civil Partnership),98
45 - 49,1993,Outside Marriage (or Civil Partnership),112
45 - 49,1994,Outside Marriage (or Civil Partnership),122
45 - 49,1995,Outside Marriage (or Civil Partnership),131
45 - 49,1996,Outside Marriage (or Civil Partnership),135
45 - 49,1997,Outside Marriage (or Civil Partnership),154
45 - 49,1998,Outside Marriage (or Civil Partnership),142
45 - 49,1999,Outside Marriage (or Civil Partnership),157
45 - 49,2000,Outside Marriage (or Civil Partnership),183
45 - 49,2001,Outside Marriage (or Civil Partnership),214
45 - 49,2002,Outside Marriage (or Civil Partnership),254
45 - 49,2003,Outside Marriage (or Civil Partnership),260
45 - 49,2004,Outside Marriage (or Civil Partnership),290
45 - 49,2005,Outside Marriage (or Civil Partnership),353
45 - 49,2006,Outside Marriage (or Civil Partnership),418
45 - 49,2007,Outside Marriage (or Civil Partnership),435
45 - 49,2008,Outside Marriage (or Civil Partnership),488
45 - 49,2009,Outside Marriage (or Civil Partnership),579
45 - 49,2010,Outside Marriage (or Civil Partnership),610
45 - 49,2011,Outside Marriage (or Civil Partnership),694
45 - 49,2012,Outside Marriage (or Civil Partnership),735
45 - 49,2013,Outside Marriage (or Civil Partnership),769
45 - 49,2014,Outside Marriage (or Civil Partnership),802
45 - 49,2015,Outside Marriage (or Civil Partnership),873
45 - 49,2016,Outside Marriage (or Civil Partnership),882
45 - 49,2017,Outside Marriage (or Civil Partnership),954
45 - 49,2018,Outside Marriage (or Civil Partnership),914
45 - 49,2019,Outside Marriage (or Civil Partnership),936
45 - 49,2020,Outside Marriage (or Civil Partnership),943
45 - 49,1938,Within Marriage (or Civil Partnership),1998
45 - 49,1939,Within Marriage (or Civil Partnership),2056
45 - 49,1940,Within Marriage (or Civil Partnership),1896
45 - 49,1941,Within Marriage (or Civil Partnership),1875
45 - 49,1942,Within Marriage (or Civil Partnership),1949
45 - 49,1943,Within Marriage (or Civil Partnership),2024
45 - 49,1944,Within Marriage (or Civil Partnership),1983
45 - 49,1945,Within Marriage (or Civil Partnership),2063
45 - 49,1946,Within Marriage (or Civil Partnership),2016
45 - 49,1947,Within Marriage (or Civil Partnership),2104
45 - 49,1948,Within Marriage (or Civil Partnership),1928
45 - 49,1949,Within Marriage (or Civil Partnership),1730
45 - 49,1950,Within Marriage (or Civil Partnership),1627
45 - 49,1951,Within Marriage (or Civil Partnership),1479
45 - 49,1952,Within Marriage (or Civil Partnership),1487
45 - 49,1953,Within Marriage (or Civil Partnership),1401
45 - 49,1954,Within Marriage (or Civil Partnership),1324
45 - 49,1955,Within Marriage (or Civil Partnership),1250
45 - 49,1956,Within Marriage (or Civil Partnership),1233
45 - 49,1957,Within Marriage (or Civil Partnership),1245
45 - 49,1958,Within Marriage (or Civil Partnership),1253
45 - 49,1959,Within Marriage (or Civil Partnership),1220
45 - 49,1960,Within Marriage (or Civil Partnership),1298
45 - 49,1961,Within Marriage (or Civil Partnership),1289
45 - 49,1962,Within Marriage (or Civil Partnership),1181
45 - 49,1963,Within Marriage (or Civil Partnership),1107
45 - 49,1964,Within Marriage (or Civil Partnership),1115
45 - 49,1965,Within Marriage (or Civil Partnership),1246
45 - 49,1966,Within Marriage (or Civil Partnership),1246
45 - 49,1967,Within Marriage (or Civil Partnership),1166
45 - 49,1968,Within Marriage (or Civil Partnership),1031
45 - 49,1969,Within Marriage (or Civil Partnership),903
45 - 49,1970,Within Marriage (or Civil Partnership),825
45 - 49,1971,Within Marriage (or Civil Partnership),743
45 - 49,1972,Within Marriage (or Civil Partnership),616
45 - 49,1973,Within Marriage (or Civil Partnership),571
45 - 49,1974,Within Marriage (or Civil Partnership),497
45 - 49,1975,Within Marriage (or Civil Partnership),517
45 - 49,1976,Within Marriage (or Civil Partnership),449
45 - 49,1977,Within Marriage (or Civil Partnership),408
45 - 49,1978,Within Marriage (or Civil Partnership),479
45 - 49,1979,Within Marriage (or Civil Partnership),489
45 - 49,1980,Within Marriage (or Civil Partnership),578
45 - 49,1981,Within Marriage (or Civil Partnership),680
45 - 49,1982,Within Marriage (or Civil Partnership),575
45 - 49,1983,Within Marriage (or Civil Partnership),612
45 - 49,1984,Within Marriage (or Civil Partnership),507
45 - 49,1985,Within Marriage (or Civil Partnership),538
45 - 49,1986,Within Marriage (or Civil Partnership),491
45 - 49,1987,Within Marriage (or Civil Partnership),485
45 - 49,1988,Within Marriage (or Civil Partnership),450
45 - 49,1989,Within Marriage (or Civil Partnership),431
45 - 49,1990,Within Marriage (or Civil Partnership),429
45 - 49,1991,Within Marriage (or Civil Partnership),443
45 - 49,1992,Within Marriage (or Civil Partnership),403
45 - 49,1993,Within Marriage (or Civil Partnership),427
45 - 49,1994,Within Marriage (or Civil Partnership),366
45 - 49,1995,Within Marriage (or Civil Partnership),409
45 - 49,1996,Within Marriage (or Civil Partnership),452
45 - 49,1997,Within Marriage (or Civil Partnership),428
45 - 49,1998,Within Marriage (or Civil Partnership),433
45 - 49,1999,Within Marriage (or Civil Partnership),478
45 - 49,2000,Within Marriage (or Civil Partnership),480
45 - 49,2001,Within Marriage (or Civil Partnership),547
45 - 49,2002,Within Marriage (or Civil Partnership),641
45 - 49,2003,Within Marriage (or Civil Partnership),615
45 - 49,2004,Within Marriage (or Civil Partnership),619
45 - 49,2005,Within Marriage (or Civil Partnership),738
45 - 49,2006,Within Marriage (or Civil Partnership),776
45 - 49,2007,Within Marriage (or Civil Partnership),874
45 - 49,2008,Within Marriage (or Civil Partnership),940
45 - 49,2009,Within Marriage (or Civil Partnership),1040
45 - 49,2010,Within Marriage (or Civil Partnership),1148
45 - 49,2011,Within Marriage (or Civil Partnership),1138
45 - 49,2012,Within Marriage (or Civil Partnership),1240
45 - 49,2013,Within Marriage (or Civil Partnership),1241
45 - 49,2014,Within Marriage (or Civil Partnership),1187
45 - 49,2015,Within Marriage (or Civil Partnership),1303
45 - 49,2016,Within Marriage (or Civil Partnership),1404
45 - 49,2017,Within Marriage (or Civil Partnership),1403
45 - 49,2018,Within Marriage (or Civil Partnership),1452
45 - 49,2019,Within Marriage (or Civil Partnership),1454
45 - 49,2020,Within Marriage (or Civil Partnership),1396
All ages  ,1938,Outside Marriage (or Civil Partnership),26379
All ages  ,1939,Outside Marriage (or Civil Partnership),25570
All ages  ,1940,Outside Marriage (or Civil Partnership),25633
All ages  ,1941,Outside Marriage (or Civil Partnership),31058
All ages  ,1942,Outside Marriage (or Civil Partnership),36467
All ages  ,1943,Outside Marriage (or Civil Partnership),43709
All ages  ,1944,Outside Marriage (or Civil Partnership),55173
All ages  ,1945,Outside Marriage (or Civil Partnership),63420
All ages  ,1946,Outside Marriage (or Civil Partnership),53919
All ages  ,1947,Outside Marriage (or Civil Partnership),46603
All ages  ,1948,Outside Marriage (or Civil Partnership),41574
All ages  ,1949,Outside Marriage (or Civil Partnership),36907
All ages  ,1950,Outside Marriage (or Civil Partnership),35250
All ages  ,1951,Outside Marriage (or Civil Partnership),32771
All ages  ,1952,Outside Marriage (or Civil Partnership),32549
All ages  ,1953,Outside Marriage (or Civil Partnership),32503
All ages  ,1954,Outside Marriage (or Civil Partnership),31609
All ages  ,1955,Outside Marriage (or Civil Partnership),31145
All ages  ,1956,Outside Marriage (or Civil Partnership),33534
All ages  ,1957,Outside Marriage (or Civil Partnership),34562
All ages  ,1958,Outside Marriage (or Civil Partnership),36174
All ages  ,1959,Outside Marriage (or Civil Partnership),38161
All ages  ,1960,Outside Marriage (or Civil Partnership),42707
All ages  ,1961,Outside Marriage (or Civil Partnership),48490
All ages  ,1962,Outside Marriage (or Civil Partnership),55376
All ages  ,1963,Outside Marriage (or Civil Partnership),59104
All ages  ,1964,Outside Marriage (or Civil Partnership),63340
All ages  ,1965,Outside Marriage (or Civil Partnership),66249
All ages  ,1966,Outside Marriage (or Civil Partnership),67056
All ages  ,1967,Outside Marriage (or Civil Partnership),69928
All ages  ,1968,Outside Marriage (or Civil Partnership),69806
All ages  ,1969,Outside Marriage (or Civil Partnership),67041
All ages  ,1970,Outside Marriage (or Civil Partnership),64744
All ages  ,1971,Outside Marriage (or Civil Partnership),65678
All ages  ,1972,Outside Marriage (or Civil Partnership),62511
All ages  ,1973,Outside Marriage (or Civil Partnership),58097
All ages  ,1974,Outside Marriage (or Civil Partnership),56486
All ages  ,1975,Outside Marriage (or Civil Partnership),54891
All ages  ,1976,Outside Marriage (or Civil Partnership),53766
All ages  ,1977,Outside Marriage (or Civil Partnership),55379
All ages  ,1978,Outside Marriage (or Civil Partnership),60637
All ages  ,1979,Outside Marriage (or Civil Partnership),69467
All ages  ,1980,Outside Marriage (or Civil Partnership),77372
All ages  ,1981,Outside Marriage (or Civil Partnership),80983
All ages  ,1982,Outside Marriage (or Civil Partnership),89857
All ages  ,1983,Outside Marriage (or Civil Partnership),99211
All ages  ,1984,Outside Marriage (or Civil Partnership),110465
All ages  ,1985,Outside Marriage (or Civil Partnership),126250
All ages  ,1986,Outside Marriage (or Civil Partnership),141345
All ages  ,1987,Outside Marriage (or Civil Partnership),158431
All ages  ,1988,Outside Marriage (or Civil Partnership),177352
All ages  ,1989,Outside Marriage (or Civil Partnership),185804
All ages  ,1990,Outside Marriage (or Civil Partnership),199999
All ages  ,1991,Outside Marriage (or Civil Partnership),211294
All ages  ,1992,Outside Marriage (or Civil Partnership),215225
All ages  ,1993,Outside Marriage (or Civil Partnership),216548
All ages  ,1994,Outside Marriage (or Civil Partnership),215536
All ages  ,1995,Outside Marriage (or Civil Partnership),219949
All ages  ,1996,Outside Marriage (or Civil Partnership),232663
All ages  ,1997,Outside Marriage (or Civil Partnership),238222
All ages  ,1998,Outside Marriage (or Civil Partnership),240611
All ages  ,1999,Outside Marriage (or Civil Partnership),241889
All ages  ,2000,Outside Marriage (or Civil Partnership),238605
All ages  ,2001,Outside Marriage (or Civil Partnership),238086
All ages  ,2002,Outside Marriage (or Civil Partnership),242032
All ages  ,2003,Outside Marriage (or Civil Partnership),257225
All ages  ,2004,Outside Marriage (or Civil Partnership),269724
All ages  ,2005,Outside Marriage (or Civil Partnership),276505
All ages  ,2006,Outside Marriage (or Civil Partnership),291376
All ages  ,2007,Outside Marriage (or Civil Partnership),305550
All ages  ,2008,Outside Marriage (or Civil Partnership),320781
All ages  ,2009,Outside Marriage (or Civil Partnership),326179
All ages  ,2010,Outside Marriage (or Civil Partnership),338790
All ages  ,2011,Outside Marriage (or Civil Partnership),341339
All ages  ,2012,Outside Marriage (or Civil Partnership),346485
All ages  ,2013,Outside Marriage (or Civil Partnership),330894
All ages  ,2014,Outside Marriage (or Civil Partnership),330235
All ages  ,2015,Outside Marriage (or Civil Partnership),333224
All ages  ,2016,Outside Marriage (or Civil Partnership),331750
All ages  ,2017,Outside Marriage (or Civil Partnership),326836
All ages  ,2018,Outside Marriage (or Civil Partnership),317809
All ages  ,2019,Outside Marriage (or Civil Partnership),310399
All ages  ,2020,Outside Marriage (or Civil Partnership),300566
All ages  ,1938,Within Marriage (or Civil Partnership),594825
All ages  ,1939,Within Marriage (or Civil Partnership),588909
All ages  ,1940,Within Marriage (or Civil Partnership),564487
All ages  ,1941,Within Marriage (or Civil Partnership),548033
All ages  ,1942,Within Marriage (or Civil Partnership),615036
All ages  ,1943,Within Marriage (or Civil Partnership),640625
All ages  ,1944,Within Marriage (or Civil Partnership),696305
All ages  ,1945,Within Marriage (or Civil Partnership),616517
All ages  ,1946,Within Marriage (or Civil Partnership),766800
All ages  ,1947,Within Marriage (or Civil Partnership),834423
All ages  ,1948,Within Marriage (or Civil Partnership),733732
All ages  ,1949,Within Marriage (or Civil Partnership),693611
All ages  ,1950,Within Marriage (or Civil Partnership),661847
All ages  ,1951,Within Marriage (or Civil Partnership),644758
All ages  ,1952,Within Marriage (or Civil Partnership),641186
All ages  ,1953,Within Marriage (or Civil Partnership),651869
All ages  ,1954,Within Marriage (or Civil Partnership),642042
All ages  ,1955,Within Marriage (or Civil Partnership),636666
All ages  ,1956,Within Marriage (or Civil Partnership),666801
All ages  ,1957,Within Marriage (or Civil Partnership),688819
All ages  ,1958,Within Marriage (or Civil Partnership),704541
All ages  ,1959,Within Marriage (or Civil Partnership),710340
All ages  ,1960,Within Marriage (or Civil Partnership),742298
All ages  ,1961,Within Marriage (or Civil Partnership),762791
All ages  ,1962,Within Marriage (or Civil Partnership),783360
All ages  ,1963,Within Marriage (or Civil Partnership),794951
All ages  ,1964,Within Marriage (or Civil Partnership),812632
All ages  ,1965,Within Marriage (or Civil Partnership),796476
All ages  ,1966,Within Marriage (or Civil Partnership),782767
All ages  ,1967,Within Marriage (or Civil Partnership),762236
All ages  ,1968,Within Marriage (or Civil Partnership),749466
All ages  ,1969,Within Marriage (or Civil Partnership),730497
All ages  ,1970,Within Marriage (or Civil Partnership),719742
All ages  ,1971,Within Marriage (or Civil Partnership),717477
All ages  ,1972,Within Marriage (or Civil Partnership),662929
All ages  ,1973,Within Marriage (or Civil Partnership),617856
All ages  ,1974,Within Marriage (or Civil Partnership),583399
All ages  ,1975,Within Marriage (or Civil Partnership),548554
All ages  ,1976,Within Marriage (or Civil Partnership),530504
All ages  ,1977,Within Marriage (or Civil Partnership),513880
All ages  ,1978,Within Marriage (or Civil Partnership),535781
All ages  ,1979,Within Marriage (or Civil Partnership),568561
All ages  ,1980,Within Marriage (or Civil Partnership),578862
All ages  ,1981,Within Marriage (or Civil Partnership),553509
All ages  ,1982,Within Marriage (or Civil Partnership),536074
All ages  ,1983,Within Marriage (or Civil Partnership),529923
All ages  ,1984,Within Marriage (or Civil Partnership),526353
All ages  ,1985,Within Marriage (or Civil Partnership),530167
All ages  ,1986,Within Marriage (or Civil Partnership),519673
All ages  ,1987,Within Marriage (or Civil Partnership),523080
All ages  ,1988,Within Marriage (or Civil Partnership),516225
All ages  ,1989,Within Marriage (or Civil Partnership),501921
All ages  ,1990,Within Marriage (or Civil Partnership),506141
All ages  ,1991,Within Marriage (or Civil Partnership),487923
All ages  ,1992,Within Marriage (or Civil Partnership),474431
All ages  ,1993,Within Marriage (or Civil Partnership),456919
All ages  ,1994,Within Marriage (or Civil Partnership),449190
All ages  ,1995,Within Marriage (or Civil Partnership),428189
All ages  ,1996,Within Marriage (or Civil Partnership),416822
All ages  ,1997,Within Marriage (or Civil Partnership),404873
All ages  ,1998,Within Marriage (or Civil Partnership),395290
All ages  ,1999,Within Marriage (or Civil Partnership),379983
All ages  ,2000,Within Marriage (or Civil Partnership),365836
All ages  ,2001,Within Marriage (or Civil Partnership),356548
All ages  ,2002,Within Marriage (or Civil Partnership),354090
All ages  ,2003,Within Marriage (or Civil Partnership),364244
All ages  ,2004,Within Marriage (or Civil Partnership),369997
All ages  ,2005,Within Marriage (or Civil Partnership),369330
All ages  ,2006,Within Marriage (or Civil Partnership),378225
All ages  ,2007,Within Marriage (or Civil Partnership),384463
All ages  ,2008,Within Marriage (or Civil Partnership),387930
All ages  ,2009,Within Marriage (or Civil Partnership),380069
All ages  ,2010,Within Marriage (or Civil Partnership),384375
All ages  ,2011,Within Marriage (or Civil Partnership),382574
All ages  ,2012,Within Marriage (or Civil Partnership),383189
All ages  ,2013,Within Marriage (or Civil Partnership),367618
All ages  ,2014,Within Marriage (or Civil Partnership),364998
All ages  ,2015,Within Marriage (or Civil Partnership),364628
All ages  ,2016,Within Marriage (or Civil Partnership),364521
All ages  ,2017,Within Marriage (or Civil Partnership),352270
All ages  ,2018,Within Marriage (or Civil Partnership),339267
All ages  ,2019,Within Marriage (or Civil Partnership),329971
All ages  ,2020,Within Marriage (or Civil Partnership),313370
